279. E1/E2 	16102 / 2556	38937 ms 27382/439 1229-4607-443	E: 3246 / 2430
280. E1/E2 	16073 / 2566	38706 ms 27253/438 1250-4639-443	E: 3712 / 2085
281. E1/E2 	16055 / 2478	38574 ms 27354/434 1226-4433-445	E: 3045 / 1905
282. E1/E2 	16073 / 2581	39062 ms 27503/445 1235-4635-451	E: 2600 / 1671
283. E1/E2 	16044 / 2493	38519 ms 27137/438 1251-4530-442	E: 4104 / 2202
284. E1/E2 	16062 / 2618	38794 ms 27341/438 1228-4689-439	E: 3145 / 1807
285. E1/E2 	16099 / 2572	38375 ms 27280/430 1236-4637-1	E: 2792 / 1888
286. E1/E2 	16189 / 2670	39171 ms 27372/439 1234-4769-665	E: 2940 / 2124
287. E1/E2 	15974 / 2610	39238 ms 27276/433 1234-4705-893	E: 3147 / 2265
288. E1/E2 	16050 / 2503	39390 ms 27482/434 1227-4513-885	E: 3357 / 1973
289. E1/E2 	16078 / 2593	38494 ms 27490/444 1232-4645-1	E: 3888 / 2299
290. E1/E2 	16014 / 2602	39035 ms 27508/443 1230-4688-439	E: 3554 / 2108
291. E1/E2 	15961 / 2562	39005 ms 27301/437 1214-4592-660	E: 2902 / 1650
292. E1/E2 	16098 / 2556	38591 ms 27216/432 1231-4598-441	E: 2694 / 1727
293. E1/E2 	16026 / 2522	39295 ms 27239/432 1234-4564-1097	E: 2984 / 1775
294. E1/E2 	16002 / 2504	38658 ms 27360/439 1209-4501-426	E: 3281 / 2115
295. E1/E2 	15961 / 2475	39063 ms 27341/445 1238-4490-886	E: 2861 / 1664
296. E1/E2 	16121 / 2626	38633 ms 27336/445 1229-4707-213	E: 2867 / 1874
